sampleID,x,comm_score_EDNRA,comm_score_EDNRB,comm_score,comm_score_EDNRA_significant,comm_score_EDNRB_significant,comm_score_significant,Ibvi_global_EDNRA,Ibvi_global_EDNRB,fraction_of_doublePositive_EDNRA,fraction_of_doublePositive_EDNRB,fraction_of_doublePositive_both,coexpression_value_EDNRA,coexpression_value_EDNRB,coexpression_value,fraction_of_significantSpots_EDNRA,fraction_of_significantSpots_EDNRB,fraction_of_significantSpots
AKK006_II_healthycontrol_V19T05022_rep2,Healthy,0.0419,0.0663,0.1083,0.1157,0.1511,0.2668,0.0284,0.013,2.2525,3.1206,5.1384,0.2973,0.2973,0.2117,0.0598,0.049,0.1065
Visium_1_CK279,Healthy,0.0273,0.0471,0.0744,0.0843,0.1237,0.208,-0.0049,-0.0027,1.4691,2.0078,3.2321,0.2976,0.2991,0.22,0.0548,0.0446,0.0984
Visium_3_CK281,Healthy,0.0609,0.0567,0.1176,0.1857,0.1044,0.2901,0.0253,-0.0019,3.3117,3.1751,6.0089,0.301,0.2904,0.2082,0.0625,0.0447,0.1055
Visium_4_CK282,Healthy,0.0282,0.1466,0.1748,0.1005,0.2533,0.3538,0.0081,0.0124,1.4664,6.5988,7.5764,0.3171,0.3104,0.2202,0.0762,0.0566,0.1271
Visium_9_CK287,MI_IZ,0.1102,0.1999,0.3101,0.2393,0.4559,0.6953,0.0209,0.0301,7.3894,12.1844,16.2613,0.2556,0.2648,0.201,0.0514,0.0674,0.1144
Visium_7_CK285,MI_IZ,0.0744,0.2222,0.2965,0.1291,0.2366,0.3657,0.0122,5e-04,6.0972,15.3255,18.072,0.241,0.2611,0.1905,0.0569,0.0703,0.1247
Visium_20_CK298,MI_IZ,0.1328,0.1459,0.2787,0.3006,0.2621,0.5627,0.0374,0.0301,17.5,17.8896,27.5974,0.2265,0.238,0.1884,0.0734,0.049,0.1166
AKK002_Infarct_MI_acute_V19T05025_rep2,MI_IZ,0.06,0.2496,0.3096,0.1834,0.5388,0.7222,0.0168,0.0283,5.1752,16.4809,18.8694,0.2492,0.29,0.2056,0.0656,0.0587,0.1189
AKK002_Normal_MI_acute_V19T05026_rep1,MI_RZ,0.0402,0.1455,0.1857,0.114,0.2777,0.3917,0.0178,0.0364,5.344,16.6667,19.2051,0.2141,0.2374,0.1773,0.0574,0.0574,0.1069
Visium_2_CK280,MI_RZ,0.0251,0.0285,0.0536,0.0961,0.0783,0.1744,0.0238,0.0057,1.9566,2.6681,4.2689,0.1689,0.2138,0.1501,0.0509,0.0519,0.1
Visium_17_CK295,MI_RZ,0.0678,0.0995,0.1674,0.1601,0.1816,0.3416,0.007,-0.0054,4.1643,6.2895,9.7358,0.2976,0.3023,0.2246,0.0566,0.0439,0.0982
Visium_6_CK284,MI_RZ,0.0462,0.1669,0.2132,0.1174,0.2472,0.3645,0.0084,0.0132,1.7956,5.6906,6.8785,0.2947,0.297,0.2214,0.0558,0.0401,0.0934
