Adipocytes_names,Adipocytes_logfoldchanges,Adipocytes_pvals,Adipocytes_pvals_adj,CCS_names,CCS_logfoldchanges,CCS_pvals,CCS_pvals_adj,EC_Arterial_names,EC_Arterial_logfoldchanges,EC_Arterial_pvals,EC_Arterial_pvals_adj,EC_Capillary_names,EC_Capillary_logfoldchanges,EC_Capillary_pvals,EC_Capillary_pvals_adj,EC_Lymphatic_names,EC_Lymphatic_logfoldchanges,EC_Lymphatic_pvals,EC_Lymphatic_pvals_adj,EC_Mixed_names,EC_Mixed_logfoldchanges,EC_Mixed_pvals,EC_Mixed_pvals_adj,EC_Valves_Pericytes_names,EC_Valves_Pericytes_logfoldchanges,EC_Valves_Pericytes_pvals,EC_Valves_Pericytes_pvals_adj,EC_Venous_names,EC_Venous_logfoldchanges,EC_Venous_pvals,EC_Venous_pvals_adj,Endocardium_names,Endocardium_logfoldchanges,Endocardium_pvals,Endocardium_pvals_adj,Epicardium_names,Epicardium_logfoldchanges,Epicardium_pvals,Epicardium_pvals_adj,Fibroblasts_names,Fibroblasts_logfoldchanges,Fibroblasts_pvals,Fibroblasts_pvals_adj,Leukocytes_names,Leukocytes_logfoldchanges,Leukocytes_pvals,Leukocytes_pvals_adj,Neurons_Mixed_names,Neurons_Mixed_logfoldchanges,Neurons_Mixed_pvals,Neurons_Mixed_pvals_adj,Neurons_SchwannGlialCells_names,Neurons_SchwannGlialCells_logfoldchanges,Neurons_SchwannGlialCells_pvals,Neurons_SchwannGlialCells_pvals_adj,Pericytes_names,Pericytes_logfoldchanges,Pericytes_pvals,Pericytes_pvals_adj,PlateletsErythrocytes_names,PlateletsErythrocytes_logfoldchanges,PlateletsErythrocytes_pvals,PlateletsErythrocytes_pvals_adj,SMC_names,SMC_logfoldchanges,SMC_pvals,SMC_pvals_adj,aCM_names,aCM_logfoldchanges,aCM_pvals,aCM_pvals_adj,unknown_names,unknown_logfoldchanges,unknown_pvals,unknown_pvals_adj,vCM_names,vCM_logfoldchanges,vCM_pvals,vCM_pvals_adj
MGST1,5.4630003,0.0,0.0,MYH6,4.41397,0.0,0.0,MECOM,3.4832544,0.0,0.0,VWF,4.227318,0.0,0.0,TFPI,3.5773351,0.0,0.0,VWF,4.0728345,0.0,0.0,LDB2,3.0045369,0.0,0.0,VWF,4.6561203,0.0,0.0,EMCN,4.71486,0.0,0.0,ALDH1A2,3.9571838,0.0,0.0,DCN,4.1677346,0.0,0.0,PTPRC,5.9539905,0.0,0.0,NRXN1,5.045429,0.0,0.0,NRXN1,6.138942,0.0,0.0,DLC1,3.4569347,0.0,0.0,HBA2,6.169852,0.0,0.0,IGFBP7,3.1452925,0.0,0.0,MYH6,4.9992094,0.0,0.0,HBA2,2.5661044,0.0,0.0,SORBS2,3.5666754,0.0,0.0
PPARG,5.581631,0.0,0.0,MYL7,4.4497895,0.0,0.0,PTPRB,4.044875,0.0,0.0,EMCN,3.8866558,0.0,0.0,MMRN1,7.050682,0.0,0.0,LDB2,2.9566014,0.0,0.0,VWF,3.2082026,0.0,0.0,PECAM1,3.7739573,0.0,0.0,CDH11,4.089697,0.0,0.0,ITLN1,8.538069,0.0,0.0,COL1A2,3.9584332,0.0,0.0,RBM47,5.194519,0.0,0.0,CADM1,2.2539759,0.0,0.0,GPM6B,3.8753629,0.0,0.0,PDGFRB,4.0693707,0.0,0.0,HBA1,6.393243,0.0,0.0,CALD1,1.9520999,0.0,0.0,PAM,3.6775897,0.0,0.0,HBA1,2.5145469,0.0,0.0,TTN,3.9292324,0.0,0.0
SOX5,4.3253965,0.0,0.0,TNNT2,3.2900348,0.0,0.0,FLT1,3.7755938,0.0,0.0,FLT1,4.102813,0.0,0.0,PPFIBP1,2.8023143,0.0,0.0,PTPRM,2.3039958,0.0,0.0,PECAM1,2.8807206,0.0,0.0,PTPRB,4.208833,0.0,0.0,CGNL1,3.8460786,0.0,0.0,SULF1,4.09371,0.0,0.0,COL6A3,3.4188251,0.0,0.0,CD163,5.909827,0.0,0.0,LINC00682,8.590039,0.0,0.0,XKR4,6.574456,0.0,0.0,EPS8,3.2791154,0.0,0.0,FTL,3.2570262,2.5532214533774024e-159,1.284440605812392e-155,ACTA2,3.87059,0.0,0.0,MYL7,5.6598263,0.0,0.0,PTMA,1.22199,0.0,0.0,LDB3,3.419716,0.0,0.0
PDE3B,5.09461,0.0,0.0,ACTC1,3.8441756,0.0,0.0,VWF,3.6449738,0.0,0.0,EGFL7,3.3237326,0.0,0.0,CCL21,7.5253167,0.0,0.0,PITPNC1,3.0594213,0.0,0.0,PITPNC1,2.7579527,0.0,0.0,LDB2,3.2846599,0.0,0.0,LEPR,4.7428513,0.0,0.0,CCDC80,3.4551272,0.0,0.0,COL3A1,3.4727614,0.0,0.0,F13A1,5.5575547,0.0,0.0,TUBB2B,4.8211393,0.0,0.0,SLC35F1,5.6941214,0.0,0.0,PRKG1,2.6419013,0.0,0.0,FTH1,2.744571,1.3095588850858481e-136,4.9409656734289055e-133,TPM2,2.7376244,0.0,0.0,NPPA,6.0109324,0.0,0.0,TOP2A,2.59473,0.0,0.0,MYBPC3,3.5043638,0.0,0.0
EBF1,3.8577833,0.0,0.0,MYL4,3.7225683,0.0,0.0,PECAM1,3.5080023,0.0,0.0,ADGRF5,4.0426536,0.0,0.0,NRP2,4.0631027,0.0,0.0,FLT1,3.296809,0.0,0.0,EGFL7,2.3349218,0.0,0.0,EMCN,3.2211425,0.0,0.0,CALCRL,3.82459,0.0,0.0,KRT19,6.6044116,0.0,0.0,COL5A2,2.9095068,0.0,0.0,IQGAP2,4.5459967,0.0,0.0,SORCS1,4.1388154,0.0,0.0,S100B,8.147434,0.0,0.0,PLA2G5,3.6691096,0.0,0.0,ALDOA,2.5328236,2.5150788709418668e-118,6.326261720042442e-115,CPE,3.536753,0.0,0.0,MYL4,4.378771,0.0,0.0,NACA,1.0640513,0.0,0.0,MYL3,3.6884823,0.0,0.0
ACACB,4.7095113,0.0,0.0,CSRP3,3.2429597,0.0,0.0,EPAS1,3.3744638,0.0,0.0,TCF4,2.5637717,0.0,0.0,AKAP12,3.1719422,0.0,0.0,KIAA1217,2.5050337,0.0,0.0,EMCN,2.697937,0.0,0.0,CALCRL,3.341415,0.0,0.0,POSTN,3.9028814,0.0,0.0,IGFBP5,3.7128763,0.0,0.0,COL6A2,3.0717351,0.0,0.0,MRC1,5.4367027,0.0,0.0,ELAVL4,8.010953,0.0,0.0,ERBB3,6.4777637,0.0,0.0,NR2F2-AS1,3.5273376,0.0,0.0,EIF1,2.1759725,6.110514182456788e-113,1.1527485005204732e-109,BGN,3.3842459,0.0,0.0,TNNT2,3.5399761,0.0,0.0,NUSAP1,2.7894793,0.0,0.0,NEBL,3.0390456,0.0,0.0
GPAM,7.689607,0.0,0.0,TPM1,2.8813725,0.0,0.0,EGFL7,2.9217584,0.0,0.0,PECAM1,3.4749572,0.0,0.0,FLT4,6.111563,0.0,0.0,PECAM1,2.9650357,0.0,0.0,ST6GALNAC3,2.5251598,0.0,0.0,RAMP3,4.8794985,0.0,0.0,TFPI,3.139799,0.0,0.0,EZR,2.9881124,0.0,0.0,MEG3,2.8969097,0.0,0.0,DOCK2,5.216144,0.0,0.0,BEX1,4.022352,0.0,0.0,CADM1,2.8718295,0.0,0.0,GUCY1A2,3.855109,0.0,0.0,HBB,4.219238,3.5201717755316675e-107,5.312643243632393e-104,NOTCH3,3.3444054,0.0,0.0,ACTC1,3.944766,0.0,0.0,CENPF,2.4725502,0.0,0.0,ACTN2,3.0486934,0.0,0.0
NEAT1,3.4081533,0.0,0.0,DES,2.6471307,0.0,0.0,LDB2,2.9470081,0.0,0.0,PTPRB,3.9194202,0.0,0.0,PTPRE,3.1928437,0.0,0.0,ST6GALNAC3,2.974459,0.0,0.0,PTPRB,2.6043556,0.0,0.0,TSHZ2,3.1145337,0.0,0.0,ENG,3.2722063,0.0,0.0,SLIT3,3.2752514,0.0,0.0,COL5A1,3.200055,0.0,0.0,DOCK8,4.5545387,0.0,0.0,MAP1B,2.339583,0.0,0.0,PTPRZ1,5.379183,0.0,0.0,ABCC9,3.560783,0.0,0.0,GADD45A,4.4358,1.1357500962072067e-100,1.142716030130611e-97,RGS5,3.8979878,0.0,0.0,ATP2A2,2.3998275,0.0,0.0,GNAS,1.0084498,0.0,0.0,MYOM1,3.278286,0.0,0.0
PNPLA2,5.2458687,0.0,0.0,PLN,2.8340752,0.0,0.0,ID1,2.8816938,0.0,0.0,ARHGAP29,2.7871292,0.0,0.0,ELK3,3.23632,0.0,0.0,PTPRB,3.2779765,0.0,0.0,HSPG2,1.92266,0.0,0.0,ANO2,4.2227674,0.0,0.0,SAT1,3.1681883,0.0,0.0,S100A10,4.0457563,0.0,0.0,COL1A1,4.3069587,0.0,0.0,MS4A6A,6.316218,0.0,0.0,XKR4,5.1351657,0.0,0.0,PLP1,5.5025144,0.0,0.0,EBF1,2.4746642,0.0,0.0,SLC25A37,2.9765737,4.51384792074826e-95,3.585420674733302e-92,ISYNA1,3.082916,0.0,0.0,CSRP3,3.3372095,0.0,0.0,RNASEK,1.7537626,4.709951324005581e-306,2.702759900452176e-304,MYH7,3.6970985,0.0,0.0
ACSL1,4.652164,0.0,0.0,TNNC1,2.9143236,0.0,0.0,EMCN,3.0174723,0.0,0.0,A2M,3.2475488,0.0,0.0,EGFL7,2.893638,0.0,0.0,ANO2,3.7843935,0.0,0.0,PRKCH,2.55419,0.0,0.0,ST6GALNAC3,3.2924318,0.0,0.0,PRCP,3.6780634,0.0,0.0,SBSPON,5.933024,0.0,0.0,COL6A1,2.7987957,0.0,0.0,SRGN,4.0771036,0.0,0.0,UCHL1,4.122066,0.0,0.0,ALDH1A1,5.9085007,0.0,0.0,IGFBP7,2.0915437,0.0,0.0,DNAJA1,2.6116214,1.0070202448297662e-94,7.598974767485415e-92,PDGFRB,2.830261,0.0,0.0,TPM1,2.9212363,0.0,0.0,STMN1,1.2983329,3.1647997222643726e-304,1.769005829941256e-302,FHL2,3.2727447,0.0,0.0
