condition_gene,vCM,aCM,CCS,SMC,Pericytes,EC_Valves_Pericytes,Endocardium,EC_Venous,EC_Arterial,EC_Capillary,EC_Lymphatic,EC_Mixed,Epicardium,Fibroblasts,Neurons_Mixed,Neurons_SchwannGlialCells,Leukocytes,Adipocytes,PlateletsErythrocytes
fetal EDN1,0.7,0.4,0.3,1.2,2,19.4,28.7,26.9,37.8,9.2,5.6,9.5,2.5,11.8,0.2,1.2,0.9,0,2
adult EDN1,0.3,0.1,0.9,0.3,0.9,5.7,4.4,3.3,8.6,1.5,2.6,1.1,0,0.3,0,0.1,0.2,0,0
fetal EDN2,0.5,0.2,0.7,0.3,0.1,0.5,0,0.1,0.1,0,0.1,0.3,3.9,0.1,0.1,0,0,0,0
adult EDN2,1.8,0.5,1.3,0.1,0.1,0,0,0,0.1,0.1,0,0.2,4.3,0.1,0,0,0.1,0.1,0
fetal EDN3,0,0,0.2,1.1,0.4,0.5,0.1,0.2,0.1,0,0.2,0.5,10.7,0.4,1.3,0.2,0.1,0,0
adult EDN3,0,0.4,0.3,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0
fetal EDNRA,9.5,24.4,13.2,37.2,42.8,21.6,4.5,0.7,0.5,0.2,0,1.5,8.2,14.6,4.9,3.9,1.8,0,1.5
adult EDNRA,33.7,33.7,8.5,34.6,37.6,6.3,1,2.3,2.1,1.8,1.3,4.5,4,5.7,5.9,1.3,2.1,3.1,0
fetal EDNRB,0.8,0.5,0.7,12.1,12.4,36.3,33.4,19.7,13.1,26.2,13.6,19.7,3.1,0.8,8.3,45.6,4.3,0,3.4
adult EDNRB,2.6,1.6,0.9,16.6,20.5,22.5,18.8,5.4,7.9,10.4,27.7,5.7,1.6,23,11.1,17.8,3,4.4,0
fetal ECE1,2.3,1.4,1.7,6.1,12.1,44.5,54.1,24.2,35.5,15.9,14.8,15.7,3.1,2.6,2,2.4,1.2,0,5.9
adult ECE1,3.3,3.7,4.1,5.5,5.2,29,24.4,12.1,8.9,5.4,5.8,3.4,0.7,10.6,7.5,5.4,0.4,5.2,0
fetal ECE2,0,0,0,0,0.2,0.5,0.1,0,0.2,0.1,0.5,0.3,0.1,0.1,1.6,0.6,0.1,0,0
adult ECE2,0.3,0.6,3,0.4,0,0,0,0.3,0.1,0.2,0,0.2,0,0.1,0,0,0.1,0,0
